thermal_demand_MW,electricity_price_Euro_Per_MWh,co2_price,gas_price_Euro_Per_MWh,biomass_Euro_Per_MWh
6.48355849,184.24,63.2,29.655,20
6.54990156,158.57,63.2,29.655,20
6.5214417,134.07,63.2,29.655,20
6.5647082,135.64,63.2,29.655,20
6.60264427,147.53,63.2,29.655,20
6.64546767,159.34,63.2,29.655,20
6.64907424,159.26,63.2,29.655,20
6.72020186,131.43,63.2,29.655,20
6.51322803,111.77,63.2,29.655,20
6.49723165,95.49,63.2,29.655,20
6.37535993,86.21,63.2,29.655,20
6.24822118,82.04,63.2,29.655,20
6.12438072,77.69,63.2,29.655,20
5.87980008,69.89,62.96,27.71,20
5.91834014,69.36,62.96,27.71,20
5.78882747,68.47,62.96,27.71,20
5.67641266,67.56,62.96,27.71,20
5.73248088,67.31,62.96,27.71,20
5.87556867,67.28,62.96,27.71,20
6.0192189,70.65,62.96,27.71,20
6.15117961,79.94,62.96,27.71,20
6.09127879,95.35,62.96,27.71,20
6.19824305,102.87,62.96,27.71,20
6.23709732,106.88,62.96,27.71,20
6.30198945,105.4,62.96,27.71,20
6.2530744,108.14,62.96,27.71,20
6.34150672,110.17,62.96,27.71,20
6.46587328,108.84,62.96,27.71,20
6.64255412,110.88,62.96,27.71,20
6.53454482,111.36,62.96,27.71,20
6.63752397,119.94,62.96,27.71,20
6.58077495,108.44,62.96,27.71,20
6.43233736,101.16,62.96,27.71,20
6.46910842,97.48,62.96,27.71,20
6.30226364,89.21,62.96,27.71,20
5.95863416,83.73,62.96,27.71,20
5.9512114,76.11,62.96,27.71,20
5.97611217,57.25,61.28,27.895,20
5.93172182,60.52,61.28,27.895,20
5.80358196,66.54,61.28,27.895,20
5.76226444,65.95,61.28,27.895,20
5.83074157,68.26,61.28,27.895,20
5.9124477,71.13,61.28,27.895,20
6.42025865,79.52,61.28,27.895,20
6.60940772,95.4,61.28,27.895,20
6.725465,109.37,61.28,27.895,20
6.66701288,106.57,61.28,27.895,20
6.63324496,97.54,61.28,27.895,20
6.69000783,95.25,61.28,27.895,20
6.54390612,83.7,61.28,27.895,20
6.65474898,79.04,61.28,27.895,20
6.55095191,78.49,61.28,27.895,20
6.51912939,84.74,61.28,27.895,20
6.47976826,89.66,61.28,27.895,20
6.49545942,93.98,61.28,27.895,20
6.71295702,92.93,61.28,27.895,20
6.4436825,86.11,61.28,27.895,20
6.22812598,80.02,61.28,27.895,20
6.27435355,75.24,61.28,27.895,20
6.37035244,72.12,61.28,27.895,20
6.00484144,67.42,61.28,27.895,20
5.58383527,64.16,61.93,28.429,20
5.62458346,61.96,61.93,28.429,20
5.60720118,61.04,61.93,28.429,20
5.66829008,60.19,61.93,28.429,20
5.81845304,60.81,61.93,28.429,20
5.96916503,62.72,61.93,28.429,20
5.95092204,71.08,61.93,28.429,20
5.99173207,82.93,61.93,28.429,20
6.02167087,94.98,61.93,28.429,20
6.24282553,95.09,61.93,28.429,20
6.24012518,90.66,61.93,28.429,20
6.30510081,83.98,61.93,28.429,20
6.06523066,77.92,61.93,28.429,20
6.02964794,75.15,61.93,28.429,20
6.04885019,76.91,61.93,28.429,20
6.2249248,85.57,61.93,28.429,20
6.23494272,101.68,61.93,28.429,20
6.26552147,113.11,61.93,28.429,20
6.10571698,108.49,61.93,28.429,20
6.31451264,85.1,61.93,28.429,20
6.15458764,75.82,61.93,28.429,20
5.97947795,73.01,61.93,28.429,20
5.73537057,70.69,61.93,28.429,20
5.57816697,66.69,61.93,28.429,20
5.35294828,67.62,61.93,28.429,20
5.26470558,65.01,61.93,28.429,20
5.22633835,65.1,61.93,28.429,20
5.13368455,63.34,61.93,28.429,20
5.16196596,63.37,61.93,28.429,20
5.33033854,63.26,61.93,28.429,20
5.51588228,64.45,61.93,28.429,20
5.76212017,68.32,61.93,28.429,20
5.44885557,73.95,61.93,28.429,20
5.97746945,78.06,61.93,28.429,20
6.02577945,73.57,61.93,28.429,20
6.01250185,72.51,61.93,28.429,20
6.01437419,69.75,61.93,28.429,20
6.18376844,70.13,61.93,28.429,20
6.13257724,71.27,61.93,28.429,20
6.35172941,74.8,61.93,28.429,20
6.36052952,82.33,61.93,28.429,20
6.41337601,88.06,61.93,28.429,20
6.43918944,90.68,61.93,28.429,20
6.20166987,83.04,61.93,28.429,20
6.02801876,73.21,61.93,28.429,20
5.55273393,66.68,61.93,28.429,20
5.54038471,63.73,61.93,28.429,20
5.48173181,61.08,61.93,28.429,20
5.23018896,54.68,61.93,28.429,20
5.06631741,51.51,61.93,28.429,20
4.94430252,37.73,61.93,28.429,20
4.90203762,34.4,61.93,28.429,20
4.92481831,34.28,61.93,28.429,20
4.95298977,34.61,61.93,28.429,20
5.03166118,34.3,61.93,28.429,20
5.3112462,34.98,61.93,28.429,20
5.70355855,34.83,61.93,28.429,20
5.33146814,35.58,61.93,28.429,20
5.36782748,36.88,61.93,28.429,20
5.46500218,37.8,61.93,28.429,20
5.41163418,37.31,61.93,28.429,20
4.5807252,36.78,61.93,28.429,20
5.27564191,37.04,61.93,28.429,20
5.30613522,37.53,61.93,28.429,20
5.30244238,46.01,61.93,28.429,20
5.37722687,50.92,61.93,28.429,20
5.55651681,54.5,61.93,28.429,20
5.49310223,52.1,61.93,28.429,20
5.53560649,34.97,61.93,28.429,20
5.23765217,34.55,61.93,28.429,20
5.17602395,34.83,61.93,28.429,20
5.1787058,29.03,61.93,28.429,20
5.11874424,27.3,59.74,27.265,20
5.05090593,22.24,59.74,27.265,20
4.98558989,18.62,59.74,27.265,20
4.89192745,5.04,59.74,27.265,20
4.92596583,5.06,59.74,27.265,20
4.97599248,20,59.74,27.265,20
5.18547547,26.05,59.74,27.265,20
5.34067797,33.2,59.74,27.265,20
5.34655699,33.08,59.74,27.265,20
5.38907841,32.87,59.74,27.265,20
5.23179679,31.69,59.74,27.265,20
5.14258273,30.87,59.74,27.265,20
5.17076213,30.6,59.74,27.265,20
5.20638485,29.29,59.74,27.265,20
5.27019824,28.58,59.74,27.265,20
5.27843927,30.32,59.74,27.265,20
5.46749667,31.62,59.74,27.265,20
5.65446376,32.85,59.74,27.265,20
5.72487011,32.44,59.74,27.265,20
5.61785255,31.75,59.74,27.265,20
5.54521808,31.41,59.74,27.265,20
5.29390136,28.84,59.74,27.265,20
4.99789811,26.07,59.74,27.265,20
4.76183261,23.03,59.74,27.265,20
4.65242708,15.84,60.55,27.225,20
4.28122323,9.86,60.55,27.225,20
4.33696501,9.14,60.55,27.225,20
4.47669563,4.17,60.55,27.225,20
4.49405548,10.22,60.55,27.225,20
4.63128802,21.63,60.55,27.225,20
4.7838454,25.73,60.55,27.225,20
4.83126177,29.39,60.55,27.225,20
4.92652266,33.62,60.55,27.225,20
5.08470498,30.82,60.55,27.225,20
5.02707931,29.92,60.55,27.225,20
4.9832955,27.67,60.55,27.225,20
4.96025947,26.58,60.55,27.225,20
4.99255597,26.76,60.55,27.225,20
5.17430887,26.73,60.55,27.225,20
5.2811895,29,60.55,27.225,20
5.53078974,57.92,60.55,27.225,20
5.61426385,60.9,60.55,27.225,20
5.70137739,59.52,60.55,27.225,20
5.70152542,56.8,60.55,27.225,20
5.60240537,55.02,60.55,27.225,20
5.45077022,49.04,60.55,27.225,20
5.15956886,40.82,60.55,27.225,20
5.05912136,33.26,60.55,27.225,20
4.96350011,28.61,62,28.93,20
4.91466362,25.17,62,28.93,20
4.89080632,20.64,62,28.93,20
4.91901921,18.82,62,28.93,20
4.92499034,17.85,62,28.93,20
5.07474647,19.55,62,28.93,20
5.34608334,25.5,62,28.93,20
5.61174936,38.73,62,28.93,20
5.95118616,49.95,62,28.93,20
5.52433439,49.54,62,28.93,20
5.41500207,50.1,62,28.93,20
5.6325359,50.76,62,28.93,20
5.52890062,39.34,62,28.93,20
5.7155333,37.34,62,28.93,20
5.96092248,45.04,62,28.93,20
6.08809642,49.95,62,28.93,20
6.17050272,50.8,62,28.93,20
6.25941949,54.21,62,28.93,20
6.3909497,52.81,62,28.93,20
6.18854718,49.96,62,28.93,20
6.14252974,42.18,62,28.93,20
5.93461691,40.04,62,28.93,20
5.54535524,42.01,62,28.93,20
5.56504082,38.53,62,28.93,20
5.27082096,43.84,61.95,27.785,20
5.15961264,43.97,61.95,27.785,20
5.12106528,42.76,61.95,27.785,20
5.06587197,43.85,61.95,27.785,20
